Cell16,Cell15,Cell14,Cell13,Cell12,Cell11,Cell10,Cell9,Cell8,Cell7,Cell6,Cell5,Cell4,Cell3,Cell2,Cell1
2.347,2.677,2.65,2.607,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.347,2.677,2.65,2.607,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.348,2.677,2.65,2.607,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.197,3.19,3.179
2.347,2.677,2.65,2.607,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.348,2.677,2.651,2.607,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.198,3.196,3.197,3.19,3.179
2.348,2.677,2.651,2.607,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.608,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.607,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.348,2.677,2.651,2.607,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.607,3.197,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.607,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.607,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.607,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.607,3.197,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.348,2.677,2.651,2.607,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.608,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.197,3.19,3.179
2.349,2.677,2.651,2.607,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.677,2.651,2.608,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.348,2.677,2.651,2.608,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.349,2.678,2.651,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.678,2.651,2.608,3.197,3.195,3.199,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.349,2.677,2.651,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.678,2.651,2.608,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.677,2.651,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.677,2.651,2.608,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.678,2.651,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.678,2.651,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.349,2.678,2.651,2.608,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.197,3.19,3.179
2.349,2.677,2.651,2.608,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.678,2.651,2.608,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.197,3.198,3.19,3.179
2.349,2.678,2.652,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.678,2.651,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.198,3.19,3.179
2.349,2.678,2.652,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.349,2.678,2.652,2.608,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.35,2.678,2.651,2.608,3.197,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.35,2.678,2.652,2.608,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.349,2.678,2.652,2.608,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.35,2.678,2.652,2.608,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.349,2.678,2.652,2.608,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.35,2.678,2.652,2.608,3.197,3.195,3.199,3.199,3.195,3.194,3.194,3.198,3.196,3.197,3.19,3.179
2.35,2.678,2.652,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.35,2.678,2.652,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.198,3.196,3.197,3.19,3.179
2.35,2.678,2.652,2.608,3.196,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.197,3.19,3.179
2.35,2.678,2.652,2.608,3.197,3.195,3.199,3.199,3.195,3.193,3.194,3.199,3.196,3.197,3.19,3.179
2.35,2.678,2.652,2.608,3.197,3.195,3.198,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
2.35,2.678,2.652,2.608,3.196,3.195,3.199,3.199,3.195,3.193,3.194,3.198,3.196,3.198,3.19,3.179
